city,state,population_male,population_female,literates_male,literates_female,sex_ratio,child_sex_ratio,male_graduates,female_graduates
Rae Bareli,UTTAR PRADESH,99844,91212,78519,64344,914,908,20169,14790
Raichur,KARNATAKA,117408,115048,86973,71479,980,955,14425,8020
Raiganj,WEST BENGAL,96589,87093,72475,60740,902,943,10419,6369
Raigarh,CHHATTISGARH,70234,66863,57679,47833,952,919,12214,7947
Raipur,CHHATTISGARH,519286,490801,420155,349438,945,929,84384,62810
Rajahmundry,ANDHRA PRADESH,169786,174117,136288,128365,1026,972,32901,20703
Rajapalayam,TAMIL NADU,64624,65495,54622,48550,1013,956,6514,4510
Rajarhat Gopalpur,WEST BENGAL,205560,199431,175680,161508,970,964,42023,31159
Rajkot,GUJARAT,675731,611264,559369,466671,905,828,78946,69102
Rajnandgaon,CHHATTISGARH,81873,81249,68134,58908,992,943,11324,8316
Rajpur Sonarpur,WEST BENGAL,215983,207823,188374,168780,962,952,40399,28308
Ramagundam,ANDHRA PRADESH,116920,112712,89722,70924,964,897,17266,9943
Rampur,UTTAR PRADESH,169826,155422,95157,79351,915,923,16005,14314
Ranchi,JHARKHAND,559031,514409,459317,382335,920,899,120922,79927
Ranibennur,KARNATAKA,53933,52432,43234,42064,972,934,6122,3625
Raniganj,WEST BENGAL,67150,61474,50250,39043,915,912,6225,3494
Ratlam,MADHYA PRADESH,135007,129803,111921,95821,961,922,20861,15728
Raurkela Industrial Township,ORISSA,109823,100589,90631,73915,916,886,12544,10343
Raurkela Town,ORISSA,144949,128268,119761,94983,885,899,22541,15773
Rewa,MADHYA PRADESH,124634,110788,103599,81692,889,846,25406,15703
Rewari,HARYANA,74689,66175,61933,48272,886,785,12960,9579
Rishra,WEST BENGAL,66767,57818,56155,44426,866,900,9452,5133
Robertson Pet,KARNATAKA,72378,74050,61304,57954,1023,1013,7030,6370
Rohtak,HARYANA,197754,175379,155679,123830,887,793,35890,29991
Roorkee,UTTARAKHAND,63508,54680,53928,42746,861,830,16630,13964
Rudrapur,UTTARAKHAND,74276,66608,51407,37293,897,907,8208,6470
S.A.S. Nagar,PUNJAB,76441,69663,66100,57830,911,886,30110,27213
Sagar,MADHYA PRADESH,142655,130702,119068,98564,916,924,23428,16289
Saharanpur,UTTAR PRADESH,371858,331487,265417,213801,891,882,42772,37977
Saharsa,BIHAR,82589,72586,58689,42736,879,918,13209,5098
Salem,TAMIL NADU,418337,412701,341725,300937,987,955,54325,38972
Sambalpur,ORISSA,94627,88756,76545,64784,938,882,16194,9901
Sambhal,UTTAR PRADESH,116008,105326,51382,41226,908,936,5780,4800
Sangli Miraj Kupwad,MAHARASHTRA,255270,247427,212703,184692,969,872,34112,26640
Santipur,WEST BENGAL,77044,74730,60420,52608,970,976,4725,2488
Sasaram,BIHAR,77687,69709,58900,46478,897,900,13181,5663
Satara,MAHARASHTRA,61075,59004,53241,48079,966,890,12269,10023
Satna,MADHYA PRADESH,147924,132324,120464,94004,895,873,23396,14299
Sawai Madhopur,RAJASTHAN,63223,57775,50438,35034,914,871,8980,4500
Secunderabad,ANDHRA PRADESH,111664,102034,92956,77192,914,958,23836,18656
Sehore,MADHYA PRADESH,56284,52534,44937,37129,933,907,8074,5813
Seoni,MADHYA PRADESH,52354,50023,44862,38970,955,905,9574,6761
Serampore,WEST BENGAL,94514,88825,81592,71868,940,958,17706,12354
Shahjahanpur,UTTAR PRADESH,173133,154842,112011,88793,894,885,18302,15208
Shamli,UTTAR PRADESH,57236,49997,43469,33181,874,798,7245,6098
Shikohabad,UTTAR PRADESH,57017,50283,43030,34030,882,823,9119,6232
Shillong,MEGHALAYA,70028,72979,59420,59893,1042,937,12466,12647
Shimla,HIMACHAL PRADESH,93364,76394,82486,65313,818,890,23822,19531
Shimoga,KARNATAKA,161978,160450,133191,122780,991,961,21835,15628
Shivpuri,MADHYA PRADESH,95227,84745,72107,52534,890,879,13796,8524
Sikar,RAJASTHAN,123156,114423,91403,67010,929,868,13799,6987
Silchar,ASSAM,86812,85897,74082,70173,989,939,12716,9558
Siliguri,WEST BENGAL,261218,248491,209792,184574,951,928,38470,26533
Singrauli,MADHYA PRADESH,117276,103019,87870,59657,878,915,11646,6401
Sirsa,HARYANA,96806,86476,75796,59639,893,806,13473,10980
Sitapur,UTTAR PRADESH,93410,83941,72197,59798,899,877,15740,12263
Siwan,BIHAR,70670,63788,56152,42746,903,868,9727,4818
Solapur,MAHARASHTRA,482194,468924,390335,319845,972,909,54159,34479
Sonipat,HARYANA,147933,129120,121821,93788,873,788,25676,21182
South Dum Dum,WEST BENGAL,206558,203966,183454,172638,987,959,57940,45002
Srikakulam,ANDHRA PRADESH,62583,63420,52029,45875,1013,935,14125,7620
Srinagar,JAMMU & KASHMIR,631916,560876,428915,312526,888,869,75825,59958
Sujangarh,RAJASTHAN,52078,49450,37914,26802,950,894,3664,1620
Sultan Pur Majra,NCT OF DELHI,95816,85808,72458,53099,896,889,4719,2671
Sultanpur,UTTAR PRADESH,56674,51240,46736,38920,904,886,12130,8345
Surat,GUJARAT,2538243,1923759,2082588,1416640,758,813,160566,118229
Surendranagar Dudhrej,GUJARAT,92728,85099,75906,59973,918,863,10540,7018
Suryapet,ANDHRA PRADESH,52138,53112,43143,38223,1019,947,9485,4718
Tadepalligudem,ANDHRA PRADESH,51176,52401,40283,38274,1024,941,7258,4269
Tadpatri,ANDHRA PRADESH,54027,54222,39781,30167,1004,948,5762,2856
Tambaram,TAMIL NADU,90803,86004,79383,71284,947,1019,19571,15577
Tenali,ANDHRA PRADESH,81324,83325,64968,60307,1025,967,13780,8653
Thane,MAHARASHTRA,966293,852579,817828,673724,882,900,129214,111934
Thanesar,HARYANA,83655,71307,67646,51836,852,856,18192,14787
Thanjavur,TAMIL NADU,109291,113328,94696,91947,1037,940,18483,15169
Thiruvananthapuram,KERALA,364657,387833,316614,330865,1064,978,72759,78498
Thoothukkudi,TAMIL NADU,118039,119335,102369,99736,1011,976,16516,15279
Thrissur,KERALA,151999,163597,136694,145644,1076,950,24392,29143
Tiruchirappalli,TAMIL NADU,418128,428787,359975,345517,1025,964,67987,55342
Tirunelveli,TAMIL NADU,234643,240195,201509,190463,1024,954,33536,25861
Tirupati,ANDHRA PRADESH,145977,141058,123449,106281,966,915,34588,20866
Tiruppur,TAMIL NADU,227469,217074,189496,160710,954,957,18431,14927
Tiruvannamalai,TAMIL NADU,72351,72332,55585,50671,1000,960,9655,6847
Tiruvottiyur,TAMIL NADU,124852,123207,103197,94449,987,970,13493,12288
Titagarh,WEST BENGAL,63936,54490,50566,36790,852,888,3898,1745
Tonk,RAJASTHAN,84927,80436,57170,41649,947,883,7537,4239
Tumkur,KARNATAKA,155406,150415,123904,113520,968,947,25617,16546
Udaipur,RAJASTHAN,234681,217054,200051,166547,925,869,51475,40615
Udgir,MAHARASHTRA,54445,49618,43518,34533,911,886,6900,3024
Udupi,KARNATAKA,62031,63319,54690,53351,1021,917,11795,10649
Ujjain,MADHYA PRADESH,265291,249924,214481,176989,942,921,41616,31127
Ulhasnagar,MAHARASHTRA,270373,236564,227975,180984,875,903,23087,20474
Uluberia,WEST BENGAL,114144,108031,86210,73616,946,939,7234,4150
Unnao,UTTAR PRADESH,94080,84601,73411,60607,899,870,15670,11550
Uttarpara Kotrung,WEST BENGAL,82815,79571,71976,65893,961,916,20981,14792
Vadodara,GUJARAT,866701,800002,747280,647672,923,856,153236,126723
Valsad,GUJARAT,58958,56029,51447,46240,950,877,10382,8598
Varanasi,UTTAR PRADESH,636860,564955,477807,381572,887,879,101440,71182
Vasai Virar City,MAHARASHTRA,649535,571698,548138,439778,880,915,70016,59938
Vellore,TAMIL NADU,91464,94431,75321,69871,1032,973,8912,6680
Veraval,GUJARAT,78161,75535,59874,46666,966,900,6246,3843
Vidisha,MADHYA PRADESH,81424,74535,65802,52876,915,913,13177,8846
Vijayawada,ANDHRA PRADESH,524918,523322,411677,377361,997,951,81146,54279
Visakhapatnam,ANDHRA PRADESH,875199,855121,698959,599937,977,959,148824,101725
Vizianagaram,ANDHRA PRADESH,111596,115937,89155,80306,1039,952,19173,11483
Warangal,ANDHRA PRADESH,310400,309716,258111,217136,998,948,69507,40106
Wardha,MAHARASHTRA,53241,52302,46752,43339,982,898,10645,8718
Yamunanagar,HARYANA,115404,101224,92164,74255,877,824,14349,15454
Yavatmal,MAHARASHTRA,58717,57997,50419,46561,988,880,7397,6114
