Flight_code,Airline
6E-2402,Indigo
6E-6813,Indigo
6E-869,Indigo
6E-6621,Indigo
6E-2174,Indigo
6E-2053,Indigo
6E-5039,Indigo
6E-735,Indigo
6E-2401,Indigo
6E-6753,Indigo
6.00E-116,Indigo
6E-687,Indigo
6E-6491,Indigo
6E-6743,Indigo
6E-484,Indigo
6E-6802,Indigo
6E-469,Indigo
6E-528,Indigo
6E-6273,Indigo
6E-6923,Indigo
6E-871,Indigo
6E-638,Indigo
6E-6067,Indigo
6E-6178,Indigo
6E-2433,Indigo
6E-2186,Indigo
6E-6892,Indigo
6E-6247,Indigo
6E-5021,Indigo
6E-886,Indigo
6E-6563,Indigo
6E-415,Indigo
6E-408,Indigo
6E-6104,Indigo
6E-6876,Indigo
6E-537,Indigo
6E-855,Indigo
6E-959,Indigo
6E-684,Indigo
6E-5283,Indigo
6E-5376,Indigo
6E-5255,Indigo
6E-5204,Indigo
6E-5251,Indigo
6E-5351,Indigo
6E-5293,Indigo
6E-5295,Indigo
6E-488,Indigo
6E-5201,Indigo
6E-356,Indigo
6E-6012,Indigo
6E-6017,Indigo
6E-6269,Indigo
6.00E-176,Indigo
6E-5323,Indigo
6E-904,Indigo
6.00E-194,Indigo
6E-7436,Indigo
6E-6653,Indigo
6E-6919,Indigo
6E-7227,Indigo
6.00E-113,Indigo
6.00E-182,Indigo
6.00E-109,Indigo
6E-6345,Indigo
6E-807,Indigo
6E-336,Indigo
6E-496,Indigo
6E-6445,Indigo
6E-703,Indigo
6.00E-305,Indigo
6E-435,Indigo
6E-5207,Indigo
6E-541,Indigo
6E-7382,Indigo
6E-6139,Indigo
6E-7384,Indigo
6E-478,Indigo
6E-7418,Indigo
6E-7204,Indigo
6E-7223,Indigo
6E-7071,Indigo
6E-7257,Indigo
6E-575,Indigo
6E-7338,Indigo
6E-7102,Indigo
6E-952,Indigo
6E-975,Indigo
6E-676,Indigo
6E-6442,Indigo
6.00E-172,Indigo
6E-368,Indigo
6E-6277,Indigo
6.00E-196,Indigo
6E-6779,Indigo
6E-6439,Indigo
6E-6339,Indigo
6E-6572,Indigo
6E-503,Indigo
6E-6336,Indigo
6E-978,Indigo
6E-6535,Indigo
6E-455,Indigo
6E-851,Indigo
6E-465,Indigo
6E-457,Indigo
6E-6257,Indigo
6E-586,Indigo
6E-6595,Indigo
6E-6423,Indigo
6.00E-239,Indigo
6E-6032,Indigo
6E-324,Indigo
6E-405,Indigo
6E-6606,Indigo
6E-2213,Indigo
6E-2324,Indigo
6E-6372,Indigo
6E-2287,Indigo
6E-771,Indigo
6E-2011,Indigo
6E-2063,Indigo
6E-6204,Indigo
6E-2171,Indigo
6E-6591,Indigo
6E-531,Indigo
6E-7156,Indigo
6E-6438,Indigo
6E-5389,Indigo
6E-621,Indigo
6E-773,Indigo
6E-6594,Indigo
6E-7248,Indigo
6E-5245,Indigo
6E-6223,Indigo
6E-7417,Indigo
6E-922,Indigo
6E-514,Indigo
6E-981,Indigo
6E-6719,Indigo
6E-413,Indigo
6E-426,Indigo
6E-6907,Indigo
6E-311,Indigo
6E-5268,Indigo
6.00E-134,Indigo
6E-6727,Indigo
6E-905,Indigo
6E-915,Indigo
6E-6593,Indigo
6E-351,Indigo
6.00E-108,Indigo
6.00E-163,Indigo
6.00E-151,Indigo
6E-6915,Indigo
6.00E-289,Indigo
6.00E-243,Indigo
6E-5384,Indigo
6E-7375,Indigo
6E-6537,Indigo
6E-793,Indigo
6E-5257,Indigo
6.00E-283,Indigo
6E-664,Indigo
6.00E-297,Indigo
6E-995,Indigo
6E-7389,Indigo
6E-887,Indigo
6.00E-285,Indigo
6E-6417,Indigo
6E-944,Indigo
6E-949,Indigo
6E-6319,Indigo
6E-6156,Indigo
6E-6174,Indigo
6E-7383,Indigo
6E-598,Indigo
6E-668,Indigo
6E-6151,Indigo
6E-7136,Indigo
6E-984,Indigo
6E-7103,Indigo
6E-743,Indigo
6E-6066,Indigo
6E-7121,Indigo
6E-7163,Indigo
6E-6505,Indigo
6E-6007,Indigo
6E-7043,Indigo
6E-7143,Indigo
6E-7211,Indigo
6E-7213,Indigo
6E-7201,Indigo
6E-7254,Indigo
6E-376,Indigo
6E-6494,Indigo
6E-6242,Indigo
6E-6532,Indigo
6E-7039,Indigo
6E-879,Indigo
6E-3291,Indigo
6.00E-149,Indigo
6E-6911,Indigo
6E-972,Indigo
6E-6216,Indigo
6E-752,Indigo
6E-6408,Indigo
6E-7379,Indigo
6E-626,Indigo
6E-409,Indigo
6E-6646,Indigo
6E-6781,Indigo
6.00E-216,Indigo
6.00E-202,Indigo
6E-2009,Indigo
6E-2234,Indigo
6.00E-224,Indigo
6E-2474,Indigo
6E-5008,Indigo
6E-6324,Indigo
6E-854,Indigo
6E-2413,Indigo
6E-404,Indigo
6E-2516,Indigo
6E-898,Indigo
6E-895,Indigo
6E-811,Indigo
6E-5599,Indigo
6E-6087,Indigo
6E-751,Indigo
6E-417,Indigo
6.00E-135,Indigo
6E-6917,Indigo
6E-875,Indigo
6E-7192,Indigo
6E-822,Indigo
6E-6021,Indigo
6E-6472,Indigo
6E-874,Indigo
6E-374,Indigo
6E-5225,Indigo
6E-476,Indigo
6E-6623,Indigo
6E-861,Indigo
6E-798,Indigo
6E-7561,Indigo
6E-6128,Indigo
6E-7234,Indigo
6E-6214,Indigo
6E-394,Indigo
6.00E-292,Indigo
6E-6241,Indigo
6E-7583,Indigo
6.00E-207,Indigo
6E-7305,Indigo
6E-6441,Indigo
6E-535,Indigo
6E-989,Indigo
6.00E-271,Indigo
6E-6154,Indigo
6E-713,Indigo
6.00E-114,Indigo
6E-7946,Indigo
6E-5288,Indigo
6E-5312,Indigo
6E-6172,Indigo
6E-647,Indigo
6E-958,Indigo
6E-379,Indigo
6.00E-282,Indigo
6E-563,Indigo
6E-534,Indigo
6E-6243,Indigo
6E-5375,Indigo
6E-318,Indigo
6E-757,Indigo
6E-6785,Indigo
6E-6893,Indigo
6E-634,Indigo
6E-7175,Indigo
6E-6513,Indigo
6E-716,Indigo
6E-6289,Indigo
6.00E-268,Indigo
6E-512,Indigo
6E-6344,Indigo
6.00E-264,Indigo
6.00E-259,Indigo
6.00E-245,Indigo
6E-6014,Indigo
6E-6256,Indigo
6.00E-192,Indigo
6E-6558,Indigo
6E-725,Indigo
6E-371,Indigo
6E-321,Indigo
6E-7623,Indigo
6E-345,Indigo
6.00E-139,Indigo
6E-566,Indigo
6E-961,Indigo
6E-804,Indigo
6E-2038,Indigo
6E-6228,Indigo
6E-365,Indigo
6E-2002,Indigo
6E-6567,Indigo
6E-2752,Indigo
6E-613,Indigo
6E-2598,Indigo
6.00E-189,Indigo
6E-605,Indigo
6E-6815,Indigo
6E-847,Indigo
6E-2007,Indigo
6E-6381,Indigo
6E-6149,Indigo
6E-6239,Indigo
6E-5306,Indigo
6E-6215,Indigo
6.00E-193,Indigo
6E-562,Indigo
6E-489,Indigo
6E-5214,Indigo
6E-5367,Indigo
6E-515,Indigo
6.00E-188,Indigo
6E-561,Indigo
6E-495,Indigo
6E-606,Indigo
6E-834,Indigo
6E-401,Indigo
6E-447,Indigo
6E-7005,Indigo
6E-539,Indigo
6E-848,Indigo
6.00E-253,Indigo
6E-6005,Indigo
6E-588,Indigo
6E-6213,Indigo
6E-5229,Indigo
6E-6169,Indigo
6E-6016,Indigo
6E-6192,Indigo
6E-6897,Indigo
6E-6925,Indigo
6E-6797,Indigo
6.00E-288,Indigo
6E-891,Indigo
6E-6374,Indigo
6.00E-195,Indigo
6E-5325,Indigo
6E-6234,Indigo
6E-7446,Indigo
6E-6288,Indigo
6E-6002,Indigo
6.00E-237,Indigo
6E-7001,Indigo
6E-7183,Indigo
6E-7044,Indigo
6.00E-156,Indigo
6E-7351,Indigo
6E-5394,Indigo
6E-526,Indigo
6E-923,Indigo
6E-796,Indigo
6E-782,Indigo
6E-479,Indigo
6E-7084,Indigo
6E-581,Indigo
6E-881,Indigo
6E-927,Indigo
6E-557,Indigo
6E-917,Indigo
6E-7167,Indigo
